,content_availability,content_availability_level,free_for_limited_time,is_limited_ride,availability,class_type_ids,content_provider,content_format,description,difficulty_estimate,overall_estimate,difficulty_rating_avg,difficulty_rating_count,difficulty_level,duration,equipment_ids,equipment_tags,explicit_rating,extra_images,fitness_discipline,fitness_discipline_display_name,has_closed_captions,has_pedaling_metrics,home_peloton_id,id,image_url,instructor_id,individual_instructor_ids,is_archived,is_closed_caption_shown,is_explicit,has_free_mode,is_live_in_studio_only,language,origin_locale,length,live_stream_id,live_stream_url,location,metrics,original_air_time,overall_rating_avg,overall_rating_count,pedaling_start_offset,pedaling_end_offset,pedaling_duration,rating,ride_type_id,ride_type_ids,sample_vod_stream_url,sample_preview_stream_url,scheduled_start_time,series_id,sold_out,studio_peloton_id,title,total_ratings,total_in_progress_workouts,total_workouts,vod_stream_url,vod_stream_id,captions,user_caption_locales,join_tokens,flags,is_dynamic_video_eligible,is_fixed_distance,dynamic_video_recorded_speed_in_mph,thumbnail_title,thumbnail_location,distance,distance_unit,distance_display_value,is_outdoor,excluded_platforms,class_avg_follow_along_score,muscle_group_score,instructor
0,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Escape the bustling city for the luxurious mountain views in Trentino. Enjoy the climb as the views take your breath away on this journey through Italy.,0.0,0.9851612903225806,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,7069dc29d4324c7faa5b025606deb36a,https://s3.amazonaws.com/peloton-ride-images/9d9fc4806ad04ba933d74d66a9f4b3f02e91d25c/img_1652985521_d883b9d4887d436c8d38f46cda32c024.jpg,,[],True,False,False,False,False,english,en-US,1810.0,7069dc29d4324c7faa5b025606deb36a-live,,Italy,"['heart_rate', 'cadence', 'calories']",1653487200.0,0.9851612903225806,9300.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1653487200,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Trentino Ride,9300.0,1.0,100000.0,,7069dc29d4324c7faa5b025606deb36a-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI3MDY5ZGMyOWQ0MzI0YzdmYWE1YjAyNTYwNmRlYjM2YSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Trentino,Italy,,,,False,[],0.0,[],
1,,,,,,,,,,,,,,,1501,,,,,,,,,,00000000000000000000000000000000,,,,False,,,,,,,,,,,,,,,,,,,,,,,1708094951,,,,25 min Just Ride,,,,,,,,,,,,,,,,,,,,,,"{'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}"
2,,,,,,,,,,,,,,,1502,,,,,,,,,,00000000000000000000000000000000,,,,False,,,,,,,,,,,,,,,,,,,,,,,1707927487,,,,25 min Just Ride,,,,,,,,,,,,,,,,,,,,,,"{'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}"
3,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Ride through rolling hills, cypress trees and amber gold wheat fields on this serene ride through the countryside of Tuscany.",0.0,0.9819703799098519,0.0,0.0,,1200,[],[],0.0,[],cycling,Cycling,False,True,,6a3b2a577ed540c9a79039bd84010f10,https://s3.amazonaws.com/peloton-ride-images/7701527f4b0ff5361211711822ce5ab66e8362ed/img_1632849508_dfffc1a599e844b5bf67ab4aef8093d3.jpg,,[],True,False,False,False,False,english,en-US,1210.0,6a3b2a577ed540c9a79039bd84010f10-live,,"Tuscany, Italy","['heart_rate', 'cadence', 'calories']",1632924000.0,0.9819703799098519,12424.0,5.0,1205.0,1200.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1632924000,15114ee7c55f43faac0ac007b817b1a9,False,,20 min Tuscany Ride,12424.0,0.0,100000.0,,6a3b2a577ed540c9a79039bd84010f10-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI2YTNiMmE1NzdlZDU0MGM5YTc5MDM5YmQ4NDAxMGYxMCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Tuscany,"Tuscany, Italy",,,,False,[],0.0,[],
4,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Take this chilled ride to visit the island, its village, and its pristine coastline. This ride offers it all: lush forests, jaw dropping ocean views, boats bobbing in the harbour past beautiful seaside houses.",0.0,0.9943137761695529,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,1363f796d34a45629f5b9f0ace602094,https://s3.amazonaws.com/peloton-ride-images/086d2a8d8e92539d71233cb8f98a3852ff8a50b6/img_1702908571_a9420da2134a4d00b916a45f6feb83d6.jpeg,,[],True,False,False,False,False,english,en-US,1810.0,1363f796d34a45629f5b9f0ace602094-live,,"Maine, USA","['heart_rate', 'cadence', 'calories']",1703689200.0,0.9943137761695529,3869.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1703689200,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Maine Peaks Island Ride,3869.0,16.0,50000.0,,1363f796d34a45629f5b9f0ace602094-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIxMzYzZjc5NmQzNGE0NTYyOWY1YjlmMGFjZTYwMjA5NCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Maine,"Maine, USA",,,,False,[],0.0,[],
5,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Start your journey on a highway through rural Oregon greeted with clear blue skies and surrounded by the beautiful Blue Mountains.,0.0,0.9895119863013698,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,e7e430a24a3c47fe8db1ede3c30ab135,https://s3.amazonaws.com/peloton-ride-images/6fc33b6f0eb12503c30541019ad8f28a3947c6af/img_1661617001_989f3111e42b4a41834cfe1463afb84b.png,,[],True,False,False,False,False,english,en-US,1810.0,e7e430a24a3c47fe8db1ede3c30ab135-live,,"Oregon, USA","['heart_rate', 'cadence', 'calories']",1661954400.0,0.9895119863013698,4672.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1661954400,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Wheeler County Ride,4672.0,1.0,60000.0,,e7e430a24a3c47fe8db1ede3c30ab135-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJlN2U0MzBhMjRhM2M0N2ZlOGRiMWVkZTNjMzBhYjEzNSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Wheeler County,"Oregon, USA",,,,False,[],0.0,[],
6,,,,,,,,,,,,,,,1501,,,,,,,,,,00000000000000000000000000000000,,,,False,,,,,,,,,,,,,,,,,,,,,,,1707592537,,,,25 min Just Ride,,,,,,,,,,,,,,,,,,,,,,"{'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}"
7,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Ride along Chicago's Lakefront Trail, located on the Western Shore of Lake Michigan.",0.0,0.9924002533248891,0.0,0.0,,2700,[],[],0.0,[],cycling,Cycling,False,True,,bc6f57c16a7b42268b540102e51b5524,https://s3.amazonaws.com/peloton-ride-images/9541005dd4a4af7733e050f3786f1e6325940b68/img_1705937290_01b81c007be2457f9d2f5bbcda7c4c7c.png,,[],True,False,False,False,False,english,en-US,2710.0,bc6f57c16a7b42268b540102e51b5524-live,,"Illinois, USA","['heart_rate', 'cadence', 'calories']",1706713200.0,0.9924002533248891,1579.0,5.0,2705.0,2700.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1706713200,15114ee7c55f43faac0ac007b817b1a9,False,,45 min Chicago Lakefront Trail Ride,1579.0,77.0,30000.0,,bc6f57c16a7b42268b540102e51b5524-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJiYzZmNTdjMTZhN2I0MjI2OGI1NDAxMDJlNTFiNTUyNCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Chicago,"Illinois, USA",,,,False,[],0.0,[],
8,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Bundle up because we are headed through the snowy Gilman Tunnels to explore the breathtaking views of the Jemez Mountains.,0.0,0.9884718251406437,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,4201b1cfedaf4e86a28f3e29667b7b25,https://s3.amazonaws.com/peloton-ride-images/327e766dcabe0fad242a22e915e87e13a106e1ea/img_1636573793_5320ae2d445f4d74a5f742c866de5786.png,,[],True,False,False,False,False,english,en-US,1808.0,4201b1cfedaf4e86a28f3e29667b7b25-live,,"New Mexico, USA","['heart_rate', 'cadence', 'calories']",1637766000.0,0.9884718251406437,10843.0,2.0,1802.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1637766000,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Gilman Tunnels Ride,10843.0,2.0,100000.0,,4201b1cfedaf4e86a28f3e29667b7b25-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI0MjAxYjFjZmVkYWY0ZTg2YTI4ZjNlMjk2NjdiN2IyNSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Gilman Tunnels,"New Mexico, USA",,,,False,[],0.0,[],
9,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Take in the wilderness of the breathtaking open mountain landscape as you ride along a very remote road in Canada’s northernmost parts.,0.0,0.983957219251337,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,5ea94202618447f78fad734effda4c17,https://s3.amazonaws.com/peloton-ride-images/e69af28640bb9d9b20e8323908c57c95b1710a74/img_1705937488_c60ca10d1f1b4383b0dd4e64bee50659.jpg,,[],True,False,False,False,False,english,en-US,1810.0,5ea94202618447f78fad734effda4c17-live,,Canada,"['heart_rate', 'cadence', 'calories']",1706713200.0,0.983957219251337,2244.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1706713200,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Haines Highway Ride,2244.0,67.0,30000.0,,5ea94202618447f78fad734effda4c17-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI1ZWE5NDIwMjYxODQ0N2Y3OGZhZDczNGVmZmRhNGMxNyIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Tatshenshini-Alsek Provinc,Canada,,,,False,[],0.0,[],
10,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Ride through the famous Grunewald forest on a beautiful summer day. You'll pass the Wannsee Lake and Havel River before ending the ride in the city of Potsdam, home of the former King of Prussia.",0.0,0.9845402766476811,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,0b3243e49ec64ea7bcc0bc647d996c3e,https://s3.amazonaws.com/peloton-ride-images/154aa971aafa74bbf694788b4053c7cc41e5775b/img_1705937408_9b9aea6699b94aad9a11c5c964a88f44.png,,[],True,False,False,False,False,english,en-US,1810.0,0b3243e49ec64ea7bcc0bc647d996c3e-live,,Germany,"['heart_rate', 'cadence', 'calories']",1706713200.0,0.9845402766476811,1229.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1706713200,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Grunewald Forest Ride,1229.0,24.0,10000.0,,0b3243e49ec64ea7bcc0bc647d996c3e-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIwYjMyNDNlNDllYzY0ZWE3YmNjMGJjNjQ3ZDk5NmMzZSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Grunewald,Germany,,,,False,[],0.0,[],
11,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Zoom on the highway to paradise into Oahu's grand terrain reaching new heights overlooking the waves of the ocean splashing towards you in this tropical island ride.,0.0,0.9865724381625441,0.0,0.0,,1200,[],[],0.0,[],cycling,Cycling,False,True,,1b58e053812444a4b88da486b548e54c,https://s3.amazonaws.com/peloton-ride-images/24fc6e3e58992a38384f7813c8f404283861f9cc/img_1656414059_1289a5ef4b614a4da62c41e8c1721d9b.png,,[],True,False,False,False,False,english,en-US,1210.0,1b58e053812444a4b88da486b548e54c-live,,"Hawaii, USA","['heart_rate', 'cadence', 'calories']",1656511200.0,0.9865724381625441,8490.0,5.0,1205.0,1200.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1656511200,15114ee7c55f43faac0ac007b817b1a9,False,,20 min Oahu Ride,8490.0,0.0,100000.0,,1b58e053812444a4b88da486b548e54c-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIxYjU4ZTA1MzgxMjQ0NGE0Yjg4ZGE0ODZiNTQ4ZTU0YyIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Oahu,"Hawaii, USA",,,,False,[],0.0,[],
12,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Let's head down under to the sunshine city, Brisbane! Clip in and join us on this laid-back ride through the city. Take in the views of the Brisbane River, unique architecture and tree-lined bike paths!",0.0,0.9826220684352173,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,a86e9938fbca45289974f1b3ddd271d4,https://s3.amazonaws.com/peloton-ride-images/e18f6de5758e19e757017d37bcf76320427f5d47/img_1627342413_ad7f7e2047a84310a65b08c0c0438609.png,,[],True,False,False,False,False,english,en-US,1810.0,a86e9938fbca45289974f1b3ddd271d4-live,,"Queensland, Australia","['heart_rate', 'cadence', 'calories']",1627480800.0,0.9826220684352173,13005.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1627480800,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Brisbane Ride,13005.0,3.0,150000.0,,a86e9938fbca45289974f1b3ddd271d4-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJhODZlOTkzOGZiY2E0NTI4OTk3NGYxYjNkZGQyNzFkNCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Brisbane,"Queensland, Australia",,,,False,"['home_tread', 'studio_tread', 'aurora']",0.0,[],
13,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Take a peaceful ride along California's iconic Pacific Coast Highway, aka Highway 1. You'll feel like you're living the dream along the stunning coastline!",0.0,0.993581131512166,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,da39cb5ffbb94233a1287e339a41aebb,https://s3.amazonaws.com/peloton-ride-images/c2d652633ec89068624da8da0ed0dee65a7c115d/img_1661616992_62aa6778eb0345b1bdb49694488d8259.png,,[],True,False,False,False,False,english,en-US,1810.0,da39cb5ffbb94233a1287e339a41aebb-live,,"California, USA","['heart_rate', 'cadence', 'calories']",1661954400.0,0.993581131512166,6699.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1661954400,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Big Sur Ride,6699.0,2.0,90000.0,,da39cb5ffbb94233a1287e339a41aebb-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJkYTM5Y2I1ZmZiYjk0MjMzYTEyODdlMzM5YTQxYWViYiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Big Sur,"California, USA",,,,False,[],0.0,[],
14,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Start your ride in the lush and rolling hills of Ho’omaluhia Botanical Garden on the Windward side of Oahu as you ride towards Kaneohe to glimpse views of the glistening bay through the trees.,0.0,0.981434145028925,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,08f38306c7ea4706b6c58fecc0e5ff32,https://s3.amazonaws.com/peloton-ride-images/7b25e5602101e37d425fdd2abd9b7f104b3beaf0/img_1661616589_dd4fb6b3c24c4b939e5130688a46a454.jpeg,,[],True,False,False,False,False,english,en-US,1810.0,08f38306c7ea4706b6c58fecc0e5ff32-live,,"Hawaii, USA","['heart_rate', 'cadence', 'calories']",1661954400.0,0.981434145028925,7433.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1661954400,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Oahu Kaneohe Ride,7433.0,2.0,100000.0,,08f38306c7ea4706b6c58fecc0e5ff32-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIwOGYzODMwNmM3ZWE0NzA2YjZjNThmZWNjMGU1ZmYzMiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Oahu,"Hawaii, USA",,,,False,[],0.0,[],
15,,,,,,,,,,,,,,,2102,,,,,,,,,,00000000000000000000000000000000,,,,False,,,,,,,,,,,,,,,,,,,,,,,1705802305,,,,35 min Entertainment Ride,,,,,,,,,,,,,,,,,,,,,,"{'name': 'ENTERTAINMENT', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/entertainment_2x.png'}"
16,,,,,,,,,,,,,,,1842,,,,,,,,,,00000000000000000000000000000000,,,,False,,,,,,,,,,,,,,,,,,,,,,,1705689084,,,,30 min Just Ride,,,,,,,,,,,,,,,,,,,,,,"{'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}"
17,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Meander through the suburban streets of modern day to the countryside. From there, seek out the historical architecture while you push yourself through the hills of Morbihan Brittany.",0.0,0.989277108433735,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,43d65812df354d21b13011ac3f4f6e0e,https://s3.amazonaws.com/peloton-ride-images/0509f757f9bce11c380877cf437a39d11ca7f8c3/img_1648320732_1c5e01e09dc34902b52496e9bcba1f5c.png,,[],True,False,False,False,False,english,en-US,1810.0,43d65812df354d21b13011ac3f4f6e0e-live,,"Brittany, France","['heart_rate', 'cadence', 'calories']",1648648800.0,0.989277108433735,8300.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1648648800,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Morbihan Countryside Ride,8300.0,2.0,100000.0,,43d65812df354d21b13011ac3f4f6e0e-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI0M2Q2NTgxMmRmMzU0ZDIxYjEzMDExYWMzZjRmNmUwZSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,"Morbihan, Brittany","Brittany, France",,,,False,"['home_tread', 'studio_tread', 'aurora']",0.0,[],
18,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,"Take a trip back in time to the former capital of the Vijayanagara Empire. A World Heritage site, Anegundi is still thriving in modern times. ",0.0,0.9810377161908731,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,17d70cf99267403da897d4a988e5b034,https://s3.amazonaws.com/peloton-ride-images/7fa8df235894041cbd5b27a2a30c6c207424bcfb/img_1668804718_4b3a799b7c8f491988d96235fad42f9e.png,,[],True,False,False,False,False,english,en-US,1810.0,17d70cf99267403da897d4a988e5b034-live,,India,"['heart_rate', 'cadence', 'calories']",1669820400.0,0.9810377161908731,4799.0,5.0,1805.0,1800.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1669820400,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Anegundi Village Ride,4799.0,1.0,60000.0,,17d70cf99267403da897d4a988e5b034-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIxN2Q3MGNmOTkyNjc0MDNkYTg5N2Q0YTk4OGU1YjAzNCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Karnataka,India,,,,False,[],0.0,[],
19,all_access_only,all_access_only,False,False,"{'is_available': True, 'reason': None}",['3e8b662199414382be3f4bed70634f6f'],virtual_active,video,Embrace the open roads and mountain views as you ride through Antelope Park. Push through till the end to catch the sunset.,0.0,0.9830825310776709,0.0,0.0,,1800,[],[],0.0,[],cycling,Cycling,False,True,,a3ab99714e8e41b798d6a26bf5aaac86,https://s3.amazonaws.com/peloton-ride-images/8f2d742cb6b3bcd9378fdc78b0468d82efad822f/img_1636388740_c5fb085c77fa41779d7e82e1e15b3625.png,,[],True,False,False,False,False,english,en-US,1815.0,a3ab99714e8e41b798d6a26bf5aaac86-live,,"Utah, USA","['heart_rate', 'cadence', 'calories']",1637766000.0,0.9830825310776709,10699.0,5.0,1809.0,1804.0,0.0,3e8b662199414382be3f4bed70634f6f,['3e8b662199414382be3f4bed70634f6f'],,,1637766000,15114ee7c55f43faac0ac007b817b1a9,False,,30 min Antelope Park Ride,10699.0,0.0,150000.0,,a3ab99714e8e41b798d6a26bf5aaac86-vod,[],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJhM2FiOTk3MTRlOGU0MWI3OThkNmEyNmJmNWFhYWM4NiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,Antelope Park,"Utah, USA",,,,False,[],0.0,[],
20,digital_and_above,digital_and_above,False,False,"{'is_available': True, 'reason': None}",['c87e20095d80463db5ce04df7fe2b989'],peloton,video,We dare you not to dance as you ride to all the hits from the pop music charts. Let’s party!,6.951052931132613,0.9945586457073761,6.951052931132613,3514.0,,1200,[],[],1.0,[],cycling,Cycling,True,True,89e194f485b345978666e3a81153fa46,d70f152d493d4810b37755bc1aa519df,https://s3.amazonaws.com/peloton-ride-images/13bce10b70d491c5c932579b39060c6c276064f0/img_1701465456_29e4c19f2e3b48d99efb07acd3a69b42.png,561f95c405734d8488ed8dcc8980d599,[],True,True,True,False,True,english,en-US,1355.0,d70f152d493d4810b37755bc1aa519df-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1701462300.0,0.9945586457073761,3308.0,60.0,1260.0,1200.0,0.0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1701462600,b0fb492940584b82986a10426cd3c5a5,False,64b6ae9a068f4933b0d629d8f2e59192,20 min Pop Ride,21455.0,3.0,40000.0,,d70f152d493d4810b37755bc1aa519df-vod,['en-US'],[],{'on_demand': 'eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJkNzBmMTUyZDQ5M2Q0ODEwYjM3NzU1YmMxYWE1MTlkZiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9'},[],False,False,0.0,,,,,,False,[],0.0,"[{'muscle_group': 'biceps', 'score': 1200.0, 'percentage': 5, 'bucket': 1, 'display_name': 'Biceps'}, {'muscle_group': 'calves', 'score': 2829.0, 'percentage': 13, 'bucket': 3, 'display_name': 'Calves'}, {'muscle_group': 'core', 'score': 2400.0, 'percentage': 11, 'bucket': 2, 'display_name': 'Core'}, {'muscle_group': 'glutes', 'score': 3171.0, 'percentage': 15, 'bucket': 3, 'display_name': 'Glutes'}, {'muscle_group': 'hamstrings', 'score': 3600.0, 'percentage': 17, 'bucket': 3, 'display_name': 'Hamstrings'}, {'muscle_group': 'hips', 'score': 2400.0, 'percentage': 11, 'bucket': 2, 'display_name': 'Hips'}, {'muscle_group': 'quads', 'score': 3600.0, 'percentage': 17, 'bucket': 3, 'display_name': 'Quads'}, {'muscle_group': 'shoulders', 'score': 1200.0, 'percentage': 5, 'bucket': 1, 'display_name': 'Shoulders'}, {'muscle_group': 'triceps', 'score': 1200.0, 'percentage': 6, 'bucket': 1, 'display_name': 'Triceps'}]",
